PDF,Tolerances_General,Tol_0_20,Tol_20_200,Tol_200_2000,Tol_gt_2000,Welding_Designation,Weld_Finish,Post_Treatment,Material_Grade,Notes
/Users/tessscholtus/Elten_data/10009043_1/10009043_1.pdf,General tolerances for linear measures according ISO 4288 orientation and location based on ISO 1101) Limits in mm for nominal sizes in mm,,,,,Weld all corners,Surface grind after welding,Bead blasted,304,
/Users/tessscholtus/Elten_data/10009043_1/10009081_1.pdf,General tolerances for linear measures according ISO 4288 orientation and location based on ISO 1101,,,,,,,Bead blasted,304,
/Users/tessscholtus/Elten_data/10009043_1/MD-21-04683_1.pdf,"ruwheden volgens NEN 3632 toegestane afwijking niet getolereerde maten, scherpe kanten breken, maattoleranties volgens NEN 2731 ® versp. bewerkingen, seegerring-groeven scherp plaat- en lasconstr.",,,,,,,,,
/Users/tessscholtus/Elten_data/10014675_2/10014675_2.pdf,"General tolerances for linear measures according to ISO 1101, tolerances of form, orientation and location based on ISO 101, Dimensional tolerancing, Machining limits",,,,,"Weld 50 [mm], 100 [mm] free",flush ground,['Coating'],"S235, S235, S235",Keep holes free of welds | A height = thinnest sheet thickness / 2 + 1 = [mm]
/Users/tessscholtus/Elten_data/10014675_2/10014689_2.pdf,General tolerances for linear measures according ISO 4288 orientation and location based on ISO 1101,,,,,,,,S235,
/Users/tessscholtus/Elten_data/10014675_2/10014690_2.pdf,General tolerances for linear measures according ISO 4288 orientation and location based on ISO 1101,,,,,,,,S235,
/Users/tessscholtus/Elten_data/10014675_2/10017181_2.pdf,General tolerances for linear measures according ISO 4288 orientation and location based on ISO 1101,,,,,,,,S235,
/Users/tessscholtus/Elten_data/10014675_2/10017182_2.pdf,General tolerances for linear measures according ISO 4288 orientation and location based on ISO 1101,,,,,Welded and sheetmetal limits according ISO 14405,"Break sharp edges, retaining ring grooves sharp",,S235,
/Users/tessscholtus/Elten_data/10014675_2/10041870_1.pdf,±0.5,,,,,EN ISO 2553,flush ground,Bead blasted,S235,
/Users/tessscholtus/Elten_data/10014675_2/MD-06-2-000211_4.pdf,"scherpe kanten breken, maattoleranties volgens NEN 2731 ® versp. bewerkingen +02 +0.5 +1.0 +2.0
seegerring-groeven scherp plaat- en lasconstr. +0.5 +1.0 +2.0 +4.0",,,,,,,,St.37,
/Users/tessscholtus/Elten_data/10014675_2/MD-07-2-001243_1.pdf,"ruwheden volgens NEN 3632 toegestane afwijking niet getolereerde maten
scherpe kanten breken, maattoleranties volgens NEN 2731 ® versp. bewerkingen
seegerring-groeven scherp plaat- en lasconstr.",,,,,,,,S235,
/Users/tessscholtus/Elten_data/10014675_2/MD-11-00617_1.pdf,"ruwheden volgens NEN 3632 toegestane afwijking niet getolereerde maten
scherpe kanten breken, maattoleranties volgens NEN 2731 ® versp. bewerkingen
seegerring-groeven scherp plaat- en lasconstr.",,,,,,,,304,
/Users/tessscholtus/Elten_data/10014675_2/MD-14-02044_5.pdf,"according ISO 4288 orientation and location based on ISO 1101} Limits in mm for nominal sizes in mm Break sharp edges, Dimensional tolerancing Machining limits",,,,,,,None,S235,
/Users/tessscholtus/Elten_data/10014675_2/MD-19-03108_1.pdf,"getolereerde maten
scherpe kanten breken, maattoleranties volgens NEN 2731 © versp. bewerkingen",,,,,,,,S235,
/Users/tessscholtus/Elten_data/10014675_2/MD-19-03327_1.pdf,"plaats- en vormtol. volgens NEN 1101 toegestane afwijking niet getolereerde maten
scherpe kanten breken, maattoleranties volgens NEN 2731",,,,,,seegerring-groeven scherp plaat- en lasconstr.,,S235,
/Users/tessscholtus/Elten_data/10014675_2/MD-19-03328_1.pdf,"ruwheden volgens NEN 3632 toegestane afwijking niet getolereerde maten
scherpe kanten breken, maattoleranties volgens NEN 2731 ® versp. bewerkingen",,,,,,seegerring-groeven scherp plaat- en lasconstr.,,S235,
/Users/tessscholtus/Elten_data/10014675_2/MD-19-03329_1.pdf,"ruwheden volgens NEN 3632 toegestane afwijking niet getolereerde maten
scherpe kanten breken, maattoleranties volgens NEN 2731 ® versp. bewerkingen
seegerring-groeven scherp plaat- en lasconstr.",,,,,,,,S235,
/Users/tessscholtus/Elten_data/10014675_2/MD-19-03464_1.pdf,plaats- en vormtol. volgens NEN 1101 toegestane afwijking niet getolereerde maten,,,,,,scherp plaat- en lasconstr.,,S235,
/Users/tessscholtus/Elten_data/10014675_2/MD-19-03466_1.pdf,"ruwheden volgens NEN 3632 | plaats- en vormtol. volgens NEN 1101 toegestane afwijking niet getolereerde maten scherpe kanten breken, maattoleranties volgens NEN 2731",,,,,,,,S235,
/Users/tessscholtus/Elten_data/10015088_3/10015086_1.pdf,according ISO 4288 orientation and location based on ISO 1101,,,,,,"Break sharp edges, Dimensional tolerancing Machining limits",,S235,
/Users/tessscholtus/Elten_data/10015088_3/10015087_1.pdf,General tolerances for linear measures according ISO 4288 orientation and location based on ISO 1101,,,,,Welded and sheetmetal limits,"Break sharp edges, Dimensional tolerancing, Machining limits, retaining ring grooves sharp according to ISO 14405",,S235,
/Users/tessscholtus/Elten_data/10015088_3/10015088_3.pdf,,,,,,,,,,
/Users/tessscholtus/Elten_data/10015088_3/10017233_1.pdf,"according ISO 4288 orientation and location based on ISO 1101) Limits in mm for nominal sizes in mm
Break sharp edges, Dimensional tolerancing Machining limits",,,,,,,None,S235,
/Users/tessscholtus/Elten_data/10015088_3/10017234_1.pdf,General tolerances for linear measures according ISO 4288 orientation and location based on ISO 1101,,,,,,,None,S235,
/Users/tessscholtus/Elten_data/10015088_3/10017235_2.pdf,General tolerances for linear measures according ISO 4288 orientation and location based on ISO 1101) Limits in mm for nominal sizes in mm,,,,,,,,S235,
/Users/tessscholtus/Elten_data/10015088_3/10017236_2.pdf,"General tolerances for linear measures according ISO 4288 orientation and location based on ISO 1101) Limits in mm for nominal sizes in mm Break sharp edges, Dimensional tolerancing Machining limits",,,,,,,,S235,
/Users/tessscholtus/Elten_data/10015088_3/10020335_1.pdf,General tolerances for linear measures according ISO 4288 orientation and location based on ISO 1101,,,,,,,,S235,
